App_ID,user_id,target,classify
9359.0,35635,1.0,rejected
9391.0,35670,513.3876588040555,v_good
9402.0,35680,1000.0,v_good
9410.0,35687,1.0,rejected
9495.0,35777,1.0,rejected
9538.0,35823,1.0,rejected
9552.0,35838,1000.0,v_good
9555.0,35841,1.0,rejected
9564.0,35850,1.0,rejected
9584.0,35875,690.7861492529463,v_good
9668.0,35969,1.0,rejected
9724.0,36025,572.6798602352941,v_good
9733.0,36034,1.0,rejected
9752.0,36055,1.0,rejected
9769.0,36072,750.590137340335,v_good
9878.0,36231,1.0,rejected
9888.0,36244,1.0,rejected
9946.0,36333,481.5214282396706,v_good
9977.0,36379,1.0,rejected
9985.0,36396,615.3569287128715,v_good
9992.0,36402,1000.0,v_good
10028.0,36451,1.0,rejected
10035.0,36458,349.45566107382547,v_good
10036.0,36459,1.0,rejected
10098.0,36541,1.0,rejected
10159.0,36603,1.0,rejected
10195.0,36655,1.0,rejected
10284.0,36769,1000.0,v_good
10309.0,36795,1.0,rejected
10344.0,36832,1.0,rejected
10348.0,36836,1.0,rejected
10361.0,36850,1.0,rejected
10362.0,36851,449.2149274176478,v_good
10382.0,36873,688.1613660170299,v_good
10388.0,36879,1.0,rejected
10405.0,36897,1.0,rejected
10420.0,36914,1.0,rejected
10431.0,36925,1.0,rejected
10434.0,36929,1.0,rejected
10466.0,36962,1000.0,v_good
10478.0,36974,802.2339828807558,v_good
10491.0,36985,1.0,rejected
10517.0,37010,1.0,rejected
10519.0,37012,1.0,rejected
10528.0,37020,1.0,rejected
10553.0,37047,1.0,rejected
10594.0,37087,1.0,rejected
10626.0,37120,542.3713698241037,v_good
10636.0,37130,1.0,rejected
10696.0,37195,1.0,rejected
10738.0,37240,616.932103768329,v_good
10753.0,37256,1.0,rejected
10766.0,37270,1.0,rejected
10812.0,37318,909.3435251710649,v_good
10813.0,37319,550.3991730483209,v_good
10819.0,37325,1.0,rejected
10849.0,37358,1000.0,v_good
10883.0,37392,679.5359638888889,v_good
10888.0,36102,1.0,rejected
10919.0,37430,1.0,rejected
10935.0,37447,929.854788434888,v_good
10939.0,37451,691.892985446362,v_good
10940.0,37452,539.3231559510431,v_good
10957.0,37469,1.0,rejected
10970.0,37484,1.0,rejected
10981.0,37486,1.0,rejected
10985.0,37502,1.0,rejected
10996.0,37514,718.0543194256738,v_good
11033.0,37551,1.0,rejected
11057.0,37574,1.0,rejected
11083.0,37619,556.0319956305138,v_good
11100.0,37635,577.6789069767443,v_good
11182.0,37718,437.4022894471559,v_good
11262.0,37799,1000.0,v_good
11302.0,37840,1.0,rejected
11307.0,37845,558.610530250847,v_good
11317.0,37854,1.0,rejected
11360.0,37901,1.0,rejected
11375.0,37918,1.0,rejected
11417.0,37963,1.0,rejected
11469.0,38021,1.0,rejected
11475.0,38028,1.0,rejected
11486.0,38039,1.0,rejected
11533.0,38090,1.0,rejected
11569.0,38127,569.7712229042692,v_good
11585.0,38144,1.0,rejected
11606.0,38169,1.0,rejected
11612.0,38176,1.0,rejected
11630.0,38194,1.0,rejected
11635.0,38200,1.0,rejected
11651.0,38219,646.8501799073905,v_good
11682.0,38253,1.0,rejected
11684.0,38256,1.0,rejected
11696.0,38272,1.0,rejected
11739.0,38316,1.0,rejected
11741.0,38318,1.0,rejected
11757.0,38334,603.3881122656171,v_good
11805.0,38385,1.0,rejected
11892.0,38474,1.0,rejected
11898.0,38482,1.0,rejected
11952.0,38539,1.0,rejected
11953.0,38540,771.6268433784338,v_good
11977.0,38564,484.33698407585655,v_good
11980.0,38567,1.0,rejected
11986.0,38575,741.9788907614212,v_good
12017.0,38608,678.2171141206712,v_good
12030.0,38622,1.0,rejected
12039.0,38631,1.0,rejected
12068.0,38661,464.37003942307695,v_good
12132.0,38727,1.0,rejected
12147.0,38744,640.4838861551441,v_good
12156.0,38753,1.0,rejected
12159.0,38756,928.0178416221626,v_good
12183.0,38784,1.0,rejected
12186.0,38787,1.0,rejected
12210.0,38810,1.0,rejected
12236.0,38835,454.43523012672813,v_good
12251.0,38853,1.0,rejected
12257.0,38859,1.0,rejected
12268.0,38871,645.1040707572346,v_good
12311.0,38914,1.0,rejected
12323.0,38926,727.6153444444444,v_good
12335.0,38940,393.32906499003985,v_good
12340.0,38947,1.0,rejected
12346.0,38953,605.6157352983845,v_good
12394.0,39000,1.0,rejected
12403.0,39009,1.0,rejected
12429.0,39038,741.1209686322859,v_good
12444.0,39052,754.0447425373138,v_good
12478.0,39087,1.0,rejected
12481.0,39090,1.0,rejected
12490.0,39099,1.0,rejected
12496.0,39106,1.0,rejected
12502.0,39111,1.0,rejected
12539.0,39150,1.0,rejected
12554.0,39167,644.5185608517896,v_good
12585.0,39200,1.0,rejected
12649.0,39267,1.0,rejected
12653.0,39271,1.0,rejected
12701.0,39321,1.0,rejected
12703.0,39322,1.0,rejected
12729.0,39349,1.0,rejected
12861.0,39488,1.0,rejected
12864.0,39491,1.0,rejected
12912.0,39543,1.0,rejected
12966.0,39602,1.0,rejected
12988.0,39626,1.0,rejected
13086.0,39729,1.0,rejected
13114.0,39758,722.2379980641593,v_good
13118.0,39762,1000.0,v_good
13131.0,39775,1.0,rejected
13133.0,39778,1000.0,v_good
13136.0,39781,1.0,rejected
13139.0,39784,770.8716336480616,v_good
13168.0,39815,1.0,rejected
13187.0,39834,518.531859662086,v_good
13247.0,39894,1.0,rejected
13256.0,39905,794.3182531276329,v_good
13261.0,39910,1.0,rejected
13294.0,39943,1.0,rejected
13322.0,39972,887.061309288344,v_good
13351.0,40001,1.0,rejected
13375.0,40027,1.0,rejected
13405.0,40058,837.0727971311476,v_good
13410.0,40065,1.0,rejected
13483.0,40139,581.3320058840976,v_good
13518.0,40174,808.4736541489418,v_good
13534.0,40191,1.0,rejected
13538.0,40194,1.0,rejected
13560.0,40217,1.0,rejected
13581.0,40242,1.0,rejected
13595.0,40257,1.0,rejected
13616.0,40278,1.0,rejected
